#TYPE System.Management.Automation.PSCustomObject
"ComputerName","ProgramName","DisplayVersion","VersionMajor","Publisher"
"DESKTOP-12LTIVU","Mozilla Firefox (x64 en-CA)","104.0",,"Mozilla"
"DESKTOP-12LTIVU","Mozilla Maintenance Service","104.0",,"Mozilla"
"DESKTOP-12LTIVU","Windows PC Health Check","3.6.2204.08001","3","Microsoft Corporation"
"DESKTOP-12LTIVU","Microsoft Update Health Tools","3.67.0.0","3","Microsoft Corporation"
"DESKTOP-12LTIVU","PowerShell 7-x64","7.2.5.0","7","Microsoft Corporation"
"DESKTOP-12LTIVU","Adobe Acrobat DC (64-bit)","22.002.20191","22","Adobe"
"DESKTOP-12LTIVU","OpenSSH","8.9.1.0","8","Microsoft Corporation"
"DESKTOP-12LTIVU","Google Chrome","104.0.5112.102","68","Google LLC"
"DESKTOP-12LTIVU","Microsoft Visual Studio Code","1.70.2","1","Microsoft Corporation"
"DESKTOP-12LTIVU","Datto RMM","4.4.2184.2184",,"Datto Inc."
"DESKTOP-12LTIVU","Microsoft Edge","104.0.1293.63","1293","Microsoft Corporation"
"DESKTOP-12LTIVU","Microsoft Edge Update","1.3.167.21",,
"DESKTOP-12LTIVU","Microsoft Edge WebView2 Runtime","104.0.1293.63","1293","Microsoft Corporation"
"DESKTOP-12LTIVU","TeamViewer Host","15.32.3.0","15","TeamViewer"
"DESKTOP-12LTIVU","GitHub Desktop","3.0.6",,"GitHub, Inc."
"DESKTOP-12LTIVU","Microsoft OneDrive","22.161.0731.0002",,"Microsoft Corporation"
"DESKTOP-12LTIVU","Postman x86_64 9.29.0","9.29.0",,"Postman"
