#TYPE System.Management.Automation.PSCustomObject
"State","LocalAddress","LocalPort","RemoteAddress","RemotePort","AppliedSetting","PID","ProcessName","Product","Description","Path","Company","FileVersion"
"Bound","0.0.0.0","51820","0.0.0.0","0",,"4092","AEMAgent","AEM Agent","AEMAgent","C:\ProgramData\CentraStage\AEMAgent\AEMAgent.exe","","11.0.0.1"
"Established","192.168.128.140","51820","35.71.170.255","443","Internet","4092","AEMAgent","AEM Agent","AEMAgent","C:\ProgramData\CentraStage\AEMAgent\AEMAgent.exe","","11.0.0.1"
"Established","192.168.128.140","51818","52.223.44.223","443","Internet","4092","AEMAgent","AEM Agent","AEMAgent","C:\ProgramData\CentraStage\AEMAgent\AEMAgent.exe","","11.0.0.1"
"Bound","0.0.0.0","51818","0.0.0.0","0",,"4092","AEMAgent","AEM Agent","AEMAgent","C:\ProgramData\CentraStage\AEMAgent\AEMAgent.exe","","11.0.0.1"
"Listen","127.0.0.1","6800","0.0.0.0","0",,"4044","aria2c",,,"C:\ProgramData\CentraStage\AEMAgent\aria2c.exe",,
"Established","192.168.128.140","63466","54.186.19.220","443","Internet","3076","CagService","Service","CentraStage Service","C:\Program Files (x86)\CentraStage\CagService.exe","CentraStage","4.4.2184.2184"
"Bound","0.0.0.0","63466","0.0.0.0","0",,"3076","CagService","Service","CentraStage Service","C:\Program Files (x86)\CentraStage\CagService.exe","CentraStage","4.4.2184.2184"
"Established","192.168.128.140","51836","20.189.173.4","443","Internet","6300","Code","Visual Studio Code","Visual Studio Code","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","1.70.2"
"Bound","0.0.0.0","51836","0.0.0.0","0",,"6300","Code","Visual Studio Code","Visual Studio Code","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","1.70.2"
"Bound","0.0.0.0","49904","0.0.0.0","0",,"13956","Cortana","Cortana","Cortana","C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_4.2204.13303.0_x64__8wekyb3d8bbwe\Cortana.exe","Microsoft Corporation","4.2204.13303.0"
"Listen","127.0.0.1","50929","0.0.0.0","0",,"8436","GitHubDesktop","GitHub Desktop","","C:\Users\dattormm02user\AppData\Local\GitHubDesktop\app-3.0.5\GitHubDesktop.exe","GitHub, Inc.","3.0.5"
"TimeWait","192.168.128.140","51872","192.168.128.44","7678",,"0","Idle",,,,,
"TimeWait","192.168.128.140","51849","192.168.128.44","9197",,"0","Idle",,,,,
"TimeWait","192.168.128.140","51851","192.168.128.44","9197",,"0","Idle",,,,,
"TimeWait","192.168.128.140","51857","192.168.128.44","7678",,"0","Idle",,,,,
"TimeWait","192.168.128.140","51870","192.168.128.44","7678",,"0","Idle",,,,,
"TimeWait","192.168.128.140","51837","13.71.55.58","443",,"0","Idle",,,,,
