**********************
Windows PowerShell transcript start
Start time: 20230509213818
Username: CPHA\BitlockerUser
RunAs User: CPHA\BitlockerUser
Configuration Name: 
Machine: CPHA-WIN10-TEST (Microsoft Windows NT 10.0.19045.0)
Host Application: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -Command Import-Module 'c:\Users\bitlockeruser\.vscode\extensions\ms-vscode.powershell-2023.5.0\modules\PowerShellEditorServices\PowerShellEditorServices.psd1'; Start-EditorServices -HostName 'Visual Studio Code Host' -HostProfileId 'Microsoft.VSCode' -HostVersion '2023.5.0' -AdditionalModules @('PowerShellEditorServices.VSCode') -BundledModulesPath 'c:\Users\bitlockeruser\.vscode\extensions\ms-vscode.powershell-2023.5.0\modules' -EnableConsoleRepl -StartupBanner "PowerShell Extension v2023.5.0
Copyright (c) Microsoft Corporation.

https://aka.ms/vscode-powershell
Type 'help' to get help.
" -LogLevel 'Normal' -LogPath 'c:\Users\bitlockeruser\AppData\Roaming\Code\User\globalStorage\ms-vscode.powershell\logs\1683671070-d4fce1c2-b220-4415-9279-3c026aeaa3021683671032491\EditorServices.log' -SessionDetailsPath 'c:\Users\bitlockeruser\AppData\Roaming\Code\User\globalStorage\ms-vscode.powershell\sessions\PSES-VSCode-15620-149733.json' -FeatureFlags @() 
Process ID: 14740
PSVersion: 5.1.19041.2673
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.19041.2673
BuildVersion: 10.0.19041.2673
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
Transcript started, output file is C:\Code\Intune\ManualScripted_MDMEnrollment\CleanupStaleComputers\logs\2023-05-09_21-38-18_Disable_Computers.log
2023-05-09 21:38:18 - Successfully disabled CPHA-NB012
2023-05-09 21:38:18 - Successfully disabled CPHA20-NB02
2023-05-09 21:38:18 - Successfully disabled CPHA-NB091
2023-05-09 21:38:18 - Successfully disabled CPHA-MANAGE1
2023-05-09 21:38:19 - Successfully disabled barracuda
2023-05-09 21:38:19 - Successfully disabled CPHA-OLD-FS1
2023-05-09 21:38:19 - Successfully disabled CPHA-APPSERVER
2023-05-09 21:38:19 - Successfully disabled ACPHA-CMSBACK
2023-05-09 21:38:19 - Successfully disabled ACPHA-CMS1
2023-05-09 21:38:19 - Successfully disabled ACPHA-CMS2
2023-05-09 21:38:19 - Successfully disabled CPHA-WEB
2023-05-09 21:38:20 - Successfully disabled CPHA-SPR
2023-05-09 21:38:20 - Successfully disabled CPHA-DEV-APP
2023-05-09 21:38:20 - Successfully disabled CPHA-DEV-DB
2023-05-09 21:38:20 - Successfully disabled CPHA-NB004
2023-05-09 21:38:20 - Successfully disabled CPHA-TESTING
2023-05-09 21:38:20 - Successfully disabled CPHA-NB003
2023-05-09 21:38:20 - Successfully disabled CPHA-NB013
2023-05-09 21:38:20 - Successfully disabled CPHA-UT1
2023-05-09 21:38:21 - Successfully disabled TESTIMAGE
2023-05-09 21:38:21 - Successfully disabled CPHA-WEBGB2
2023-05-09 21:38:21 - Successfully disabled CPHA-NB024
2023-05-09 21:38:21 - Successfully disabled CPHA-DEV
2023-05-09 21:38:21 - Successfully disabled WIN-V332R2915E2
2023-05-09 21:38:21 - Successfully disabled CPHA-NB010
2023-05-09 21:38:21 - Successfully disabled CPHA-NB008
2023-05-09 21:38:21 - Successfully disabled CPHA-WS053
2023-05-09 21:38:21 - Successfully disabled CPHA-WS047
2023-05-09 21:38:21 - Successfully disabled CPHA-WS55
2023-05-09 21:38:21 - Successfully disabled CPHA-WS017
2023-05-09 21:38:21 - Successfully disabled CPHA-SHORETEL
2023-05-09 21:38:22 - Successfully disabled CPHA-VMM
2023-05-09 21:38:22 - Successfully disabled CPHA-DEV-HOST
2023-05-09 21:38:22 - Successfully disabled CPHA-VEEAM
2023-05-09 21:38:22 - Successfully disabled CPHA-HOST03
2023-05-09 21:38:22 - Successfully disabled P2V_TEMP
2023-05-09 21:38:22 - Successfully disabled CPHA-NB029
2023-05-09 21:38:22 - Successfully disabled CPHA2015-WS059
2023-05-09 21:38:22 - Successfully disabled CPHA-VEEAM-HV
2023-05-09 21:38:22 - Successfully disabled CPHA2015-WS049
2023-05-09 21:38:22 - Successfully disabled CPHA-NB034
2023-05-09 21:38:22 - Successfully disabled CPHA-WS057
2023-05-09 21:38:22 - Successfully disabled CPHA2015-WS020
2023-05-09 21:38:23 - Successfully disabled CPHA2015-WS013
2023-05-09 21:38:23 - Successfully disabled CPHA2015-WS021
2023-05-09 21:38:23 - Successfully disabled CPHA_IAN
2023-05-09 21:38:23 - Successfully disabled CPHA2015-WS001
2023-05-09 21:38:23 - Successfully disabled CPHA2015-WS016
2023-05-09 21:38:23 - Successfully disabled CPHA2015-WS060
2023-05-09 21:38:23 - Successfully disabled CPHA-WS054
2023-05-09 21:38:23 - Successfully disabled CPHA-WS070
2023-05-09 21:38:23 - Successfully disabled CPHA2015-WS009
